지점,지점명,일시,강수량(mm)
115,울릉도,2026-04-04 03:00,.2
115,울릉도,2026-04-04 04:00,1.8
115,울릉도,2026-04-04 05:00,1
115,울릉도,2026-04-04 06:00,1.5
115,울릉도,2026-04-04 07:00,2
115,울릉도,2026-04-04 08:00,3
115,울릉도,2026-04-04 09:00,6.6
115,울릉도,2026-04-04 10:00,6.2
115,울릉도,2026-04-04 11:00,10.3
115,울릉도,2026-04-04 12:00,13.5
115,울릉도,2026-04-04 13:00,9
115,울릉도,2026-04-04 14:00,2.1
115,울릉도,2026-04-04 15:00,.3
130,울진,2026-04-04 03:00,0
130,울진,2026-04-04 04:00,.3
130,울진,2026-04-04 05:00,.5
130,울진,2026-04-04 06:00,2.3
130,울진,2026-04-04 07:00,4.8
130,울진,2026-04-04 08:00,4.8
130,울진,2026-04-04 09:00,5.1
130,울진,2026-04-04 10:00,5.6
130,울진,2026-04-04 11:00,4.8
130,울진,2026-04-04 12:00,2.8
130,울진,2026-04-04 13:00,.5
130,울진,2026-04-04 14:00,.2
130,울진,2026-04-04 15:00,.1
136,안동,2026-04-04 01:00,0
136,안동,2026-04-04 02:00,.8
136,안동,2026-04-04 03:00,2.1
136,안동,2026-04-04 04:00,1.9
136,안동,2026-04-04 05:00,5.5
136,안동,2026-04-04 06:00,4.1
136,안동,2026-04-04 07:00,5.7
136,안동,2026-04-04 08:00,5.1
136,안동,2026-04-04 09:00,3.8
136,안동,2026-04-04 10:00,3.7
136,안동,2026-04-04 11:00,1.9
136,안동,2026-04-04 12:00,.4
136,안동,2026-04-04 13:00,.1
137,상주,2026-04-04 01:00,.3
137,상주,2026-04-04 02:00,2.8
137,상주,2026-04-04 03:00,2.4
137,상주,2026-04-04 04:00,6.7
137,상주,2026-04-04 05:00,2.7
137,상주,2026-04-04 06:00,3.8
137,상주,2026-04-04 07:00,4.7
137,상주,2026-04-04 08:00,4.8
137,상주,2026-04-04 09:00,5
137,상주,2026-04-04 10:00,5.1
137,상주,2026-04-04 11:00,.7
137,상주,2026-04-04 12:00,.1
137,상주,2026-04-04 15:00,0
138,포항,2026-04-04 01:00,.4
138,포항,2026-04-04 02:00,.8
138,포항,2026-04-04 03:00,1.9
138,포항,2026-04-04 04:00,3.5
138,포항,2026-04-04 05:00,4.4
138,포항,2026-04-04 06:00,5.2
138,포항,2026-04-04 07:00,3.8
138,포항,2026-04-04 08:00,4
138,포항,2026-04-04 09:00,2.6
138,포항,2026-04-04 10:00,2.8
138,포항,2026-04-04 11:00,5.6
138,포항,2026-04-04 12:00,1.1
138,포항,2026-04-04 13:00,0
271,봉화,2026-04-04 02:00,.1
271,봉화,2026-04-04 03:00,1.2
271,봉화,2026-04-04 04:00,1.9
271,봉화,2026-04-04 05:00,1.6
271,봉화,2026-04-04 06:00,3.6
271,봉화,2026-04-04 07:00,3.2
271,봉화,2026-04-04 08:00,4.2
271,봉화,2026-04-04 09:00,4.5
271,봉화,2026-04-04 10:00,3.7
271,봉화,2026-04-04 11:00,4.2
271,봉화,2026-04-04 12:00,.3
272,영주,2026-04-04 01:00,0
272,영주,2026-04-04 02:00,.2
272,영주,2026-04-04 03:00,1.5
272,영주,2026-04-04 04:00,2.8
272,영주,2026-04-04 05:00,2.3
272,영주,2026-04-04 06:00,5.6
272,영주,2026-04-04 07:00,3.3
272,영주,2026-04-04 08:00,5.3
272,영주,2026-04-04 09:00,6.8
272,영주,2026-04-04 10:00,5.6
272,영주,2026-04-04 11:00,2.2
273,문경,2026-04-04 01:00,.4
273,문경,2026-04-04 02:00,1.8
273,문경,2026-04-04 03:00,3.4
273,문경,2026-04-04 04:00,2.9
273,문경,2026-04-04 05:00,5.6
273,문경,2026-04-04 06:00,2.8
273,문경,2026-04-04 07:00,3.4
273,문경,2026-04-04 08:00,6.7
273,문경,2026-04-04 09:00,5
273,문경,2026-04-04 10:00,6.2
273,문경,2026-04-04 11:00,.8
276,청송군,2026-04-04 01:00,.1
276,청송군,2026-04-04 02:00,.7
276,청송군,2026-04-04 03:00,1.7
276,청송군,2026-04-04 04:00,3.5
276,청송군,2026-04-04 05:00,4.2
276,청송군,2026-04-04 06:00,3.9
276,청송군,2026-04-04 07:00,5.2
276,청송군,2026-04-04 08:00,4
276,청송군,2026-04-04 09:00,2
276,청송군,2026-04-04 10:00,4.5
276,청송군,2026-04-04 11:00,3.7
276,청송군,2026-04-04 12:00,.7
276,청송군,2026-04-04 13:00,.3
277,영덕,2026-04-04 01:00,0
277,영덕,2026-04-04 02:00,.5
277,영덕,2026-04-04 03:00,2.2
277,영덕,2026-04-04 04:00,1.6
277,영덕,2026-04-04 05:00,4.7
277,영덕,2026-04-04 06:00,4.1
277,영덕,2026-04-04 07:00,5.4
277,영덕,2026-04-04 08:00,6.4
277,영덕,2026-04-04 09:00,10.6
277,영덕,2026-04-04 10:00,13
277,영덕,2026-04-04 11:00,12.5
277,영덕,2026-04-04 12:00,5.7
277,영덕,2026-04-04 13:00,.5
277,영덕,2026-04-04 15:00,0
278,의성,2026-04-04 01:00,.5
278,의성,2026-04-04 02:00,1.9
278,의성,2026-04-04 03:00,3.4
278,의성,2026-04-04 04:00,4.6
278,의성,2026-04-04 05:00,3.2
278,의성,2026-04-04 06:00,4.6
278,의성,2026-04-04 07:00,6.3
278,의성,2026-04-04 08:00,3.7
278,의성,2026-04-04 09:00,3.4
278,의성,2026-04-04 10:00,4.5
278,의성,2026-04-04 11:00,.9
278,의성,2026-04-04 12:00,.4
279,구미,2026-04-04 01:00,1.7
279,구미,2026-04-04 02:00,3.5
279,구미,2026-04-04 03:00,3.6
279,구미,2026-04-04 04:00,3
279,구미,2026-04-04 05:00,4.7
279,구미,2026-04-04 06:00,6.6
279,구미,2026-04-04 07:00,6.5
279,구미,2026-04-04 08:00,5.3
279,구미,2026-04-04 09:00,8.3
279,구미,2026-04-04 10:00,4.2
279,구미,2026-04-04 11:00,1.8
279,구미,2026-04-04 12:00,.6
281,영천,2026-04-04 01:00,2.2
281,영천,2026-04-04 02:00,2.1
281,영천,2026-04-04 03:00,1.6
281,영천,2026-04-04 04:00,1.9
281,영천,2026-04-04 05:00,2.6
281,영천,2026-04-04 06:00,4.3
281,영천,2026-04-04 07:00,3.7
281,영천,2026-04-04 08:00,2.8
281,영천,2026-04-04 09:00,2.5
281,영천,2026-04-04 10:00,7.2
281,영천,2026-04-04 11:00,2.9
281,영천,2026-04-04 12:00,.9
281,영천,2026-04-04 13:00,.2
283,경주시,2026-04-04 01:00,1.2
283,경주시,2026-04-04 02:00,1.3
283,경주시,2026-04-04 03:00,1.9
283,경주시,2026-04-04 04:00,3.1
283,경주시,2026-04-04 05:00,2.9
283,경주시,2026-04-04 06:00,5.4
283,경주시,2026-04-04 07:00,5.7
283,경주시,2026-04-04 08:00,4.5
283,경주시,2026-04-04 09:00,5
283,경주시,2026-04-04 10:00,4.2
283,경주시,2026-04-04 11:00,2.2
283,경주시,2026-04-04 12:00,1.1
283,경주시,2026-04-04 13:00,.7
283,경주시,2026-04-04 14:00,0
